T,U,Delta,kind,w1_nf,ne_target,mu,ne_actual,dne,A_arith_0,A_typ_0,R0_typ_over_arith,iterations,converged,diff,runtime_dmft_sec,solution_dir,status,error
0.02,0,1.805,typ,0.5,0.5,0.0181294296464609,0.495132763989685,-0.004867236010314968,0.4551631744444204,0.3292064549769316,0.7232712870033179,1,True,0.001993403897985285,0.008754253387451172,/home/2/kj405942/Byczuk_Freericks/filling_variantB_freericks/pbs_variantB_T002_typ_21x21_mu20/chunks/T_0p02__Didx_18_18__typ/dmft_solutions/T_0p02/U_0__Delta_1p805__w1_0p5__typ,ok,
0.02,0,1.805,typ,0.45,0.55,0.02890879152520132,0.5533547892381199,0.003354789238119826,0.4551768532628026,0.329090508413919,0.7229948229021963,18,True,0.001956636934033568,0.078857421875,/home/2/kj405942/Byczuk_Freericks/filling_variantB_freericks/pbs_variantB_T002_typ_21x21_mu20/chunks/T_0p02__Didx_18_18__typ/dmft_solutions/T_0p02/U_0__Delta_1p805__w1_0p45__typ,ok,
0.02,0,1.805,typ,0.4,0.6,0.03337655889807042,0.596335975565667,-0.003664024434333002,0.4552056839526113,0.329031360613203,0.7228190952190668,1,True,0.001383823901120229,0.0112459659576416,/home/2/kj405942/Byczuk_Freericks/filling_variantB_freericks/pbs_variantB_T002_typ_21x21_mu20/chunks/T_0p02__Didx_18_18__typ/dmft_solutions/T_0p02/U_0__Delta_1p805__w1_0p4__typ,ok,
0.02,0.2,1.805,typ,0.5,0.5,0.1277241454232115,0.4951851480951046,-0.00481485190489539,0.4505291880767172,0.3415764702718072,0.7581672382426036,1,True,0.001983533731613165,0.008192539215087891,/home/2/kj405942/Byczuk_Freericks/filling_variantB_freericks/pbs_variantB_T002_typ_21x21_mu20/chunks/T_0p02__Didx_18_18__typ/dmft_solutions/T_0p02/U_0p2__Delta_1p805__w1_0p5__typ,ok,
0.02,0.2,1.805,typ,0.45,0.55,0.1268577546370591,0.5469952654440293,-0.003004734555970723,0.4506050996863598,0.3413648153141154,0.7575698001458923,1,True,0.001517883531155157,0.01082634925842285,/home/2/kj405942/Byczuk_Freericks/filling_variantB_freericks/pbs_variantB_T002_typ_21x21_mu20/chunks/T_0p02__Didx_18_18__typ/dmft_solutions/T_0p02/U_0p2__Delta_1p805__w1_0p45__typ,ok,
0.02,0.2,1.805,typ,0.4,0.6,0.1281646752806446,0.5985039157293979,-0.001496084270602105,0.4506671432583119,0.340821759959034,0.7562605019192246,1,True,0.001376438072680097,0.01040053367614746,/home/2/kj405942/Byczuk_Freericks/filling_variantB_freericks/pbs_variantB_T002_typ_21x21_mu20/chunks/T_0p02__Didx_18_18__typ/dmft_solutions/T_0p02/U_0p2__Delta_1p805__w1_0p4__typ,ok,
0.02,0.3,1.805,typ,0.5,0.5,0.2499999999999999,0.4979872676402842,-0.002012732359715774,0.445795932061694,0.3513194368638279,0.7880723254675382,79,True,0.001959061425717026,0.354590892791748,/home/2/kj405942/Byczuk_Freericks/filling_variantB_freericks/pbs_variantB_T002_typ_21x21_mu20/chunks/T_0p02__Didx_18_18__typ/dmft_solutions/T_0p02/U_0p3__Delta_1p805__w1_0p5__typ,ok,
0.02,0.3,1.805,typ,0.45,0.55,0.2929838507379143,0.55163680815561,0.001636808155609959,0.4459361920919092,0.3477888844721542,0.7799072841355597,47,True,0.001931683423209413,0.2070975303649902,/home/2/kj405942/Byczuk_Freericks/filling_variantB_freericks/pbs_variantB_T002_typ_21x21_mu20/chunks/T_0p02__Didx_18_18__typ/dmft_solutions/T_0p02/U_0p3__Delta_1p805__w1_0p45__typ,ok,
0.02,0.3,1.805,typ,0.4,0.6,0.4124472983486399,0.5977487370580321,-0.002251262941967869,0.4465417793059422,0.333225874004816,0.7462367228498694,1,True,0.001452029174449487,0.009643316268920898,/home/2/kj405942/Byczuk_Freericks/filling_variantB_freericks/pbs_variantB_T002_typ_21x21_mu20/chunks/T_0p02__Didx_18_18__typ/dmft_solutions/T_0p02/U_0p3__Delta_1p805__w1_0p4__typ,ok,
0.02,0.1,1.805,typ,0.5,0.5,0.09196541466182162,0.4991324272949527,-0.000867572705047337,0.4539426228141179,0.332371435513232,0.7321882079562568,26,True,0.001946744976148723,0.119328498840332,/home/2/kj405942/Byczuk_Freericks/filling_variantB_freericks/pbs_variantB_T002_typ_21x21_mu20/chunks/T_0p02__Didx_18_18__typ/dmft_solutions/T_0p02/U_0p1__Delta_1p805__w1_0p5__typ,ok,
0.02,0.1,1.805,typ,0.45,0.55,0.1285439178596215,0.5490613621360588,-0.0009386378639412163,0.4540377478196114,0.3310674155794595,0.729162756112939,1,True,0.001667805688858094,0.0121300220489502,/home/2/kj405942/Byczuk_Freericks/filling_variantB_freericks/pbs_variantB_T002_typ_21x21_mu20/chunks/T_0p02__Didx_18_18__typ/dmft_solutions/T_0p02/U_0p1__Delta_1p805__w1_0p45__typ,ok,
0.02,0.1,1.805,typ,0.4,0.6,0.278246870058813,0.5950642535453838,-0.004935746454616141,0.4548397848167045,0.3188436166190579,0.701002039097236,1,True,0.001784777792478554,0.009012937545776367,/home/2/kj405942/Byczuk_Freericks/filling_variantB_freericks/pbs_variantB_T002_typ_21x21_mu20/chunks/T_0p02__Didx_18_18__typ/dmft_solutions/T_0p02/U_0p1__Delta_1p805__w1_0p4__typ,ok,
0.02,0.6000000000000001,1.805,typ,0.5,0.5,0.1401181990360191,0.4964120460547234,-0.003587953945276612,0.4274268759039156,0.3789722488971458,0.8866364523655685,1,True,0.001792100466041126,0.009520053863525391,/home/2/kj405942/Byczuk_Freericks/filling_variantB_freericks/pbs_variantB_T002_typ_21x21_mu20/chunks/T_0p02__Didx_18_18__typ/dmft_solutions/T_0p02/U_0p6__Delta_1p805__w1_0p5__typ,ok,
0.02,0.6000000000000001,1.805,typ,0.45,0.55,0.1398391853611977,0.5484746309361797,-0.001525369063820392,0.4278396333686325,0.3802404202505771,0.8887451993559391,1,True,0.0005237606585965944,0.009183406829833984,/home/2/kj405942/Byczuk_Freericks/filling_variantB_freericks/pbs_variantB_T002_typ_21x21_mu20/chunks/T_0p02__Didx_18_18__typ/dmft_solutions/T_0p02/U_0p6__Delta_1p805__w1_0p45__typ,ok,
0.02,0.6000000000000001,1.805,typ,0.4,0.6,0.1381155856877223,0.6033922254039572,0.003392225403957227,0.4285155173102093,0.3803048677237136,0.8874938067841422,1,True,0.001378213083010943,0.009102106094360352,/home/2/kj405942/Byczuk_Freericks/filling_variantB_freericks/pbs_variantB_T002_typ_21x21_mu20/chunks/T_0p02__Didx_18_18__typ/dmft_solutions/T_0p02/U_0p6__Delta_1p805__w1_0p4__typ,ok,
0.02,0.5,1.805,typ,0.5,0.5,0.3711872742508295,0.498346233976494,-0.001653766023505976,0.4340431162552826,0.3732816160911557,0.8600104508318248,3,True,0.001985149001091705,0.01701259613037109,/home/2/kj405942/Byczuk_Freericks/filling_variantB_freericks/pbs_variantB_T002_typ_21x21_mu20/chunks/T_0p02__Didx_18_18__typ/dmft_solutions/T_0p02/U_0p5__Delta_1p805__w1_0p5__typ,ok,
0.02,0.5,1.805,typ,0.45,0.55,0.3814270499024607,0.5456528849913953,-0.004347115008604741,0.4340727120832168,0.3710318177935226,0.8547688151435592,1,True,0.001890134898787552,0.008403778076171875,/home/2/kj405942/Byczuk_Freericks/filling_variantB_freericks/pbs_variantB_T002_typ_21x21_mu20/chunks/T_0p02__Didx_18_18__typ/dmft_solutions/T_0p02/U_0p5__Delta_1p805__w1_0p45__typ,ok,
0.02,0.5,1.805,typ,0.4,0.6,0.3803897973634507,0.5962456926243656,-0.003754307375634425,0.4346210294251756,0.3687345689180911,0.8484048031586849,1,True,0.001411905638235738,0.007936716079711914,/home/2/kj405942/Byczuk_Freericks/filling_variantB_freericks/pbs_variantB_T002_typ_21x21_mu20/chunks/T_0p02__Didx_18_18__typ/dmft_solutions/T_0p02/U_0p5__Delta_1p805__w1_0p4__typ,ok,
0.02,0.7000000000000001,1.805,typ,0.5,0.5,-0.002919761881700298,0.4989747329993828,-0.001025267000617169,0.41692879055593,0.3613877438793286,0.8667852929932151,1,True,0.001281127871410421,0.01148581504821777,/home/2/kj405942/Byczuk_Freericks/filling_variantB_freericks/pbs_variantB_T002_typ_21x21_mu20/chunks/T_0p02__Didx_18_18__typ/dmft_solutions/T_0p02/U_0p7__Delta_1p805__w1_0p5__typ,ok,
0.02,0.7000000000000001,1.805,typ,0.45,0.55,-0.005660927530565198,0.5498480265427472,-0.0001519734572528186,0.4175045787764799,0.3642509238964592,0.8724477344989042,1,True,0.001522627170897399,0.01121139526367188,/home/2/kj405942/Byczuk_Freericks/filling_variantB_freericks/pbs_variantB_T002_typ_21x21_mu20/chunks/T_0p02__Didx_18_18__typ/dmft_solutions/T_0p02/U_0p7__Delta_1p805__w1_0p45__typ,ok,
0.02,0.7000000000000001,1.805,typ,0.4,0.6,-0.004977886986448874,0.6046069717140894,0.004606971714089414,0.4191676355646264,0.3669746931178943,0.8754843217405676,36,True,0.001962840751781631,0.1994037628173828,/home/2/kj405942/Byczuk_Freericks/filling_variantB_freericks/pbs_variantB_T002_typ_21x21_mu20/chunks/T_0p02__Didx_18_18__typ/dmft_solutions/T_0p02/U_0p7__Delta_1p805__w1_0p4__typ,ok,
0.02,0.4,1.805,typ,0.5,0.5,0.223751688601527,0.4971943301947965,-0.002805669805203526,0.4401919163802802,0.3655273293283428,0.8303817397059263,1,True,0.0008731442935499917,0.008466720581054688,/home/2/kj405942/Byczuk_Freericks/filling_variantB_freericks/pbs_variantB_T002_typ_21x21_mu20/chunks/T_0p02__Didx_18_18__typ/dmft_solutions/T_0p02/U_0p4__Delta_1p805__w1_0p5__typ,ok,
0.02,0.4,1.805,typ,0.45,0.55,0.2342897179633492,0.5484551570932922,-0.001544842906707866,0.4403062498627898,0.3647926346933391,0.8284975169146869,1,True,0.001895447985625908,0.008543252944946289,/home/2/kj405942/Byczuk_Freericks/filling_variantB_freericks/pbs_variantB_T002_typ_21x21_mu20/chunks/T_0p02__Didx_18_18__typ/dmft_solutions/T_0p02/U_0p4__Delta_1p805__w1_0p45__typ,ok,
0.02,0.4,1.805,typ,0.4,0.6,0.2328044570740724,0.6046403530464006,0.004640353046400647,0.4406737201630697,0.3635460492671136,0.8249778297026307,58,True,0.001898066483596718,0.3135244846343994,/home/2/kj405942/Byczuk_Freericks/filling_variantB_freericks/pbs_variantB_T002_typ_21x21_mu20/chunks/T_0p02__Didx_18_18__typ/dmft_solutions/T_0p02/U_0p4__Delta_1p805__w1_0p4__typ,ok,
0.02,0.8,1.805,typ,0.5,0.5,0.4471685631629894,0.4955031715417376,-0.004496828458262381,0.4151746827772124,0.3927227063094418,0.9459216146861764,41,True,0.001922847583297823,0.2319984436035156,/home/2/kj405942/Byczuk_Freericks/filling_variantB_freericks/pbs_variantB_T002_typ_21x21_mu20/chunks/T_0p02__Didx_18_18__typ/dmft_solutions/T_0p02/U_0p8__Delta_1p805__w1_0p5__typ,ok,
0.02,0.8,1.805,typ,0.45,0.55,0.4477562132901624,0.5460846565995562,-0.00391534340044386,0.4153053773503917,0.3915574372192751,0.9428181251044081,1,True,0.001857871228779041,0.01145553588867188,/home/2/kj405942/Byczuk_Freericks/filling_variantB_freericks/pbs_variantB_T002_typ_21x21_mu20/chunks/T_0p02__Didx_18_18__typ/dmft_solutions/T_0p02/U_0p8__Delta_1p805__w1_0p45__typ,ok,
0.02,0.8,1.805,typ,0.4,0.6,0.4439533752541634,0.5963758822495827,-0.003624117750417266,0.4160405029807812,0.3894855823511819,0.9361722706338859,1,True,0.001039944899364342,0.01154422760009766,/home/2/kj405942/Byczuk_Freericks/filling_variantB_freericks/pbs_variantB_T002_typ_21x21_mu20/chunks/T_0p02__Didx_18_18__typ/dmft_solutions/T_0p02/U_0p8__Delta_1p805__w1_0p4__typ,ok,
0.02,0.9,1.805,typ,0.5,0.5,0.3086735914829639,0.4955367080303025,-0.004463291969697525,0.4072394987609164,0.3869774845852675,0.9502454593984647,1,True,0.001843211318036269,0.01099658012390137,/home/2/kj405942/Byczuk_Freericks/filling_variantB_freericks/pbs_variantB_T002_typ_21x21_mu20/chunks/T_0p02__Didx_18_18__typ/dmft_solutions/T_0p02/U_0p9__Delta_1p805__w1_0p5__typ,ok,
0.02,0.9,1.805,typ,0.45,0.55,0.3057396310808193,0.5507783764524493,0.0007783764524492698,0.4080093804190889,0.3880283281407381,0.9510279585782389,1,True,0.001054042494351807,0.01078033447265625,/home/2/kj405942/Byczuk_Freericks/filling_variantB_freericks/pbs_variantB_T002_typ_21x21_mu20/chunks/T_0p02__Didx_18_18__typ/dmft_solutions/T_0p02/U_0p9__Delta_1p805__w1_0p45__typ,ok,
0.02,0.9,1.805,typ,0.4,0.6,0.2489049833865541,0.5953330577966973,-0.00466694220330266,0.4084298863822467,0.3844770782617713,0.9413539289873167,1,True,0.001581679205236593,0.01092982292175293,/home/2/kj405942/Byczuk_Freericks/filling_variantB_freericks/pbs_variantB_T002_typ_21x21_mu20/chunks/T_0p02__Didx_18_18__typ/dmft_solutions/T_0p02/U_0p9__Delta_1p805__w1_0p4__typ,ok,
0.02,1.1,1.805,typ,0.5,0.5,0.5230005514435803,0.496726357779559,-0.00327364222044102,0.3943130755861398,0.377552278764015,0.9574936824065241,1,True,0.001861837633575097,0.01085495948791504,/home/2/kj405942/Byczuk_Freericks/filling_variantB_freericks/pbs_variantB_T002_typ_21x21_mu20/chunks/T_0p02__Didx_18_18__typ/dmft_solutions/T_0p02/U_1p1__Delta_1p805__w1_0p5__typ,ok,
0.02,1.1,1.805,typ,0.45,0.55,0.5199169609197395,0.550312317292618,0.0003123172926179363,0.3948533251426509,0.3773010364197389,0.9555473194595213,1,True,0.001392921972209358,0.01105093955993652,/home/2/kj405942/Byczuk_Freericks/filling_variantB_freericks/pbs_variantB_T002_typ_21x21_mu20/chunks/T_0p02__Didx_18_18__typ/dmft_solutions/T_0p02/U_1p1__Delta_1p805__w1_0p45__typ,ok,
0.02,1.1,1.805,typ,0.4,0.6,0.3635207916799806,0.6010076503503509,0.001007650350350886,0.3938184793425518,0.3705130243989224,0.9408218350176559,1,True,0.001792217162103805,0.009283065795898438,/home/2/kj405942/Byczuk_Freericks/filling_variantB_freericks/pbs_variantB_T002_typ_21x21_mu20/chunks/T_0p02__Didx_18_18__typ/dmft_solutions/T_0p02/U_1p1__Delta_1p805__w1_0p4__typ,ok,
