T,U,Delta,kind,w1_nf,ne_target,mu,ne_actual,dne,A_arith_0,A_typ_0,R0_typ_over_arith,iterations,converged,diff,runtime_dmft_sec,solution_dir,status,error
0.02,0,0.44,typ,0.5,0.5,0.0356342048972039,0.4977290859290214,-0.002270914070978569,0.6163561928715919,0.6152950630863148,0.9982783822121858,70,True,0.001942152483672177,0.09828400611877441,/home/2/kj405942/Byczuk_Freericks/filling_variantB_freericks/pbs_variantB_T002_typ_21x21_mu20/chunks/T_0p02__Didx_4_4__typ/dmft_solutions/T_0p02/U_0__Delta_0p44__w1_0p5__typ,ok,
0.02,0,0.44,typ,0.45,0.55,0.1201238210122863,0.5506965666862658,0.0006965666862657205,0.6132437132148462,0.6112952374301963,0.9968226730373879,60,True,0.001962863738671571,0.0958259105682373,/home/2/kj405942/Byczuk_Freericks/filling_variantB_freericks/pbs_variantB_T002_typ_21x21_mu20/chunks/T_0p02__Didx_4_4__typ/dmft_solutions/T_0p02/U_0__Delta_0p44__w1_0p45__typ,ok,
0.02,0,0.44,typ,0.4,0.6,0.1978087181984918,0.5989117066628307,-0.00108829333716931,0.6071338226083225,0.6034896079244827,0.9939976747330863,45,True,0.001927284659711168,0.0787198543548584,/home/2/kj405942/Byczuk_Freericks/filling_variantB_freericks/pbs_variantB_T002_typ_21x21_mu20/chunks/T_0p02__Didx_4_4__typ/dmft_solutions/T_0p02/U_0__Delta_0p44__w1_0p4__typ,ok,
0.02,0.1,0.44,typ,0.5,0.5,0.08644587860911787,0.4973432790390118,-0.002656720960988235,0.6137443014351449,0.612753842746388,0.9983862030385604,59,True,0.001959486313809869,0.09587216377258301,/home/2/kj405942/Byczuk_Freericks/filling_variantB_freericks/pbs_variantB_T002_typ_21x21_mu20/chunks/T_0p02__Didx_4_4__typ/dmft_solutions/T_0p02/U_0p1__Delta_0p44__w1_0p5__typ,ok,
0.02,0.1,0.44,typ,0.45,0.55,0.1674304691245263,0.5512094611431375,0.001209461143137469,0.6105177186687258,0.6086439814992184,0.9969309045221599,43,True,0.001963185267909061,0.07257533073425293,/home/2/kj405942/Byczuk_Freericks/filling_variantB_freericks/pbs_variantB_T002_typ_21x21_mu20/chunks/T_0p02__Didx_4_4__typ/dmft_solutions/T_0p02/U_0p1__Delta_0p44__w1_0p45__typ,ok,
0.02,0.1,0.44,typ,0.4,0.6,0.2391547332481002,0.5991696035170806,-0.0008303964829193822,0.6044838907427014,0.6009888427058565,0.9942181287369781,47,True,0.001875099458760353,0.07528471946716309,/home/2/kj405942/Byczuk_Freericks/filling_variantB_freericks/pbs_variantB_T002_typ_21x21_mu20/chunks/T_0p02__Didx_4_4__typ/dmft_solutions/T_0p02/U_0p1__Delta_0p44__w1_0p4__typ,ok,
0.02,0.3,0.44,typ,0.5,0.5,0.1882867807663109,0.5042921212802712,0.004292121280271233,0.5926491392114085,0.5921529623701846,0.9991627814698522,60,True,0.001928284324096732,0.09443426132202148,/home/2/kj405942/Byczuk_Freericks/filling_variantB_freericks/pbs_variantB_T002_typ_21x21_mu20/chunks/T_0p02__Didx_4_4__typ/dmft_solutions/T_0p02/U_0p3__Delta_0p44__w1_0p5__typ,ok,
0.02,0.3,0.44,typ,0.45,0.55,0.2530014578884733,0.5493846039938765,-0.0006153960061235919,0.589773065775394,0.5887091485603274,0.9981960566244784,51,True,0.00195125841159974,0.09481048583984375,/home/2/kj405942/Byczuk_Freericks/filling_variantB_freericks/pbs_variantB_T002_typ_21x21_mu20/chunks/T_0p02__Didx_4_4__typ/dmft_solutions/T_0p02/U_0p3__Delta_0p44__w1_0p45__typ,ok,
0.02,0.3,0.44,typ,0.4,0.6,0.3332114982277518,0.6001645702846959,0.000164570284695964,0.5821797762232828,0.5796169905831048,0.9955979480139223,99,True,0.001999996215703507,0.2469427585601807,/home/2/kj405942/Byczuk_Freericks/filling_variantB_freericks/pbs_variantB_T002_typ_21x21_mu20/chunks/T_0p02__Didx_4_4__typ/dmft_solutions/T_0p02/U_0p3__Delta_0p44__w1_0p4__typ,ok,
0.02,0.2,0.44,typ,0.5,0.5,0.1350323260883555,0.499097784342991,-0.0009022156570089868,0.6059382332620596,0.6051635712895634,0.9987215496069198,133,True,0.001934444470163049,0.3608682155609131,/home/2/kj405942/Byczuk_Freericks/filling_variantB_freericks/pbs_variantB_T002_typ_21x21_mu20/chunks/T_0p02__Didx_4_4__typ/dmft_solutions/T_0p02/U_0p2__Delta_0p44__w1_0p5__typ,ok,
0.02,0.2,0.44,typ,0.45,0.55,0.2210743409925524,0.5531242459806774,0.003124245980677398,0.6021234815584975,0.6004321167869503,0.9971910001463996,90,True,0.001968635239629015,0.2774984836578369,/home/2/kj405942/Byczuk_Freericks/filling_variantB_freericks/pbs_variantB_T002_typ_21x21_mu20/chunks/T_0p02__Didx_4_4__typ/dmft_solutions/T_0p02/U_0p2__Delta_0p44__w1_0p45__typ,ok,
0.02,0.2,0.44,typ,0.4,0.6,0.2882205464221067,0.6017186412208891,0.001718641220889161,0.5958398019842556,0.5926301104956823,0.9946131636760679,28,True,0.001943081447103515,0.1034293174743652,/home/2/kj405942/Byczuk_Freericks/filling_variantB_freericks/pbs_variantB_T002_typ_21x21_mu20/chunks/T_0p02__Didx_4_4__typ/dmft_solutions/T_0p02/U_0p2__Delta_0p44__w1_0p4__typ,ok,
0.02,0.4,0.44,typ,0.5,0.5,0.2347980000638439,0.5013572408745115,0.001357240874511501,0.5737193125423693,0.5735143267963135,0.9996427072584547,25,True,0.001950666615356373,0.05026030540466309,/home/2/kj405942/Byczuk_Freericks/filling_variantB_freericks/pbs_variantB_T002_typ_21x21_mu20/chunks/T_0p02__Didx_4_4__typ/dmft_solutions/T_0p02/U_0p4__Delta_0p44__w1_0p5__typ,ok,
0.02,0.4,0.44,typ,0.45,0.55,0.2996510433073902,0.5510824876360495,0.001082487636049456,0.5707109368319957,0.5700782818361625,0.9988914615876383,75,True,0.001995897436932603,0.166501522064209,/home/2/kj405942/Byczuk_Freericks/filling_variantB_freericks/pbs_variantB_T002_typ_21x21_mu20/chunks/T_0p02__Didx_4_4__typ/dmft_solutions/T_0p02/U_0p4__Delta_0p44__w1_0p45__typ,ok,
0.02,0.4,0.44,typ,0.4,0.6,0.3637158180910052,0.598270178756826,-0.001729821243174001,0.5643595788174572,0.5627388876385194,0.9971282649577177,75,True,0.001999434412333316,0.2160532474517822,/home/2/kj405942/Byczuk_Freericks/filling_variantB_freericks/pbs_variantB_T002_typ_21x21_mu20/chunks/T_0p02__Didx_4_4__typ/dmft_solutions/T_0p02/U_0p4__Delta_0p44__w1_0p4__typ,ok,
0.02,0.5,0.44,typ,0.5,0.5,0.2906184074116958,0.5014123942766678,0.001412394276667839,0.5483555010353315,0.5483272480178846,0.9999484768231676,185,True,0.001949862290856611,0.7413551807403564,/home/2/kj405942/Byczuk_Freericks/filling_variantB_freericks/pbs_variantB_T002_typ_21x21_mu20/chunks/T_0p02__Didx_4_4__typ/dmft_solutions/T_0p02/U_0p5__Delta_0p44__w1_0p5__typ,ok,
0.02,0.5,0.44,typ,0.45,0.55,0.3578554650002334,0.5536093468284821,0.003609346828482018,0.5445304918118732,0.5442080750671893,0.999407899558368,55,True,0.001953390312910618,0.2376689910888672,/home/2/kj405942/Byczuk_Freericks/filling_variantB_freericks/pbs_variantB_T002_typ_21x21_mu20/chunks/T_0p02__Didx_4_4__typ/dmft_solutions/T_0p02/U_0p5__Delta_0p44__w1_0p45__typ,ok,
0.02,0.5,0.44,typ,0.4,0.6,0.4111001294927318,0.6002735152012539,0.0002735152012539599,0.5383929048103022,0.5373984327818428,0.9981528879382061,41,True,0.001880687666823346,0.1742992401123047,/home/2/kj405942/Byczuk_Freericks/filling_variantB_freericks/pbs_variantB_T002_typ_21x21_mu20/chunks/T_0p02__Didx_4_4__typ/dmft_solutions/T_0p02/U_0p5__Delta_0p44__w1_0p4__typ,ok,
