T,U,Delta,kind,w1_nf,ne_target,mu,ne_actual,dne,A_arith_0,A_typ_0,R0_typ_over_arith,iterations,converged,diff,runtime_dmft_sec,solution_dir,status,error
0.02,0.2,1.5125,typ,0.5,0.5,0.08667383535224241,0.5017494020896204,0.001749402089620378,0.4849230982659475,0.4206071499702793,0.8673687672836008,59,True,0.001956026932214677,0.2543656826019287,/home/2/kj405942/Byczuk_Freericks/filling_variantB_freericks/pbs_variantB_T002_typ_21x21_mu20/chunks/T_0p02__Didx_15_15__typ/dmft_solutions/T_0p02/U_0p2__Delta_1p5125__w1_0p5__typ,ok,
0.02,0.2,1.5125,typ,0.45,0.55,0.1445315416360375,0.5467211334276251,-0.003278866572374972,0.484955290902178,0.4199545001819364,0.8659653952855766,1,True,0.001661783075923356,0.008985280990600586,/home/2/kj405942/Byczuk_Freericks/filling_variantB_freericks/pbs_variantB_T002_typ_21x21_mu20/chunks/T_0p02__Didx_15_15__typ/dmft_solutions/T_0p02/U_0p2__Delta_1p5125__w1_0p45__typ,ok,
0.02,0.2,1.5125,typ,0.4,0.6,0.3308852617221222,0.5952230507699988,-0.00477694923000116,0.4845206289584447,0.4045595914821823,0.8349687656268598,12,True,0.001938972979149856,0.07126045227050781,/home/2/kj405942/Byczuk_Freericks/filling_variantB_freericks/pbs_variantB_T002_typ_21x21_mu20/chunks/T_0p02__Didx_15_15__typ/dmft_solutions/T_0p02/U_0p2__Delta_1p5125__w1_0p4__typ,ok,
0.02,0.3,1.5125,typ,0.5,0.5,0.1810799079157524,0.4975858933950127,-0.002414106604987309,0.4797368274572951,0.4265384085318003,0.8891091617721795,13,True,0.001967356938312642,0.0495903491973877,/home/2/kj405942/Byczuk_Freericks/filling_variantB_freericks/pbs_variantB_T002_typ_21x21_mu20/chunks/T_0p02__Didx_15_15__typ/dmft_solutions/T_0p02/U_0p3__Delta_1p5125__w1_0p5__typ,ok,
0.02,0.3,1.5125,typ,0.45,0.55,0.2818329333348571,0.5467981660426662,-0.003201833957333866,0.4794312923501546,0.4213968554359344,0.8789515039167813,4,True,0.001927211101159862,0.02472782135009766,/home/2/kj405942/Byczuk_Freericks/filling_variantB_freericks/pbs_variantB_T002_typ_21x21_mu20/chunks/T_0p02__Didx_15_15__typ/dmft_solutions/T_0p02/U_0p3__Delta_1p5125__w1_0p45__typ,ok,
0.02,0.3,1.5125,typ,0.4,0.6,0.3164949931118677,0.5956145581868865,-0.004385441813113511,0.4794061471721494,0.4169081506827376,0.8696345533780369,1,True,0.001992843440101037,0.009428977966308594,/home/2/kj405942/Byczuk_Freericks/filling_variantB_freericks/pbs_variantB_T002_typ_21x21_mu20/chunks/T_0p02__Didx_15_15__typ/dmft_solutions/T_0p02/U_0p3__Delta_1p5125__w1_0p4__typ,ok,
0.02,0.1,1.5125,typ,0.5,0.5,0.07031637275217927,0.5005690602195739,0.0005690602195739247,0.4883749555579473,0.4159595622370273,0.8517217304106257,4,True,0.001939229805260724,0.02230095863342285,/home/2/kj405942/Byczuk_Freericks/filling_variantB_freericks/pbs_variantB_T002_typ_21x21_mu20/chunks/T_0p02__Didx_15_15__typ/dmft_solutions/T_0p02/U_0p1__Delta_1p5125__w1_0p5__typ,ok,
0.02,0.1,1.5125,typ,0.45,0.55,0.104117189372175,0.5533725532098338,0.003372553209833762,0.4883671826127823,0.4151961391362711,0.8501720711759472,64,True,0.00192198315925661,0.2852764129638672,/home/2/kj405942/Byczuk_Freericks/filling_variantB_freericks/pbs_variantB_T002_typ_21x21_mu20/chunks/T_0p02__Didx_15_15__typ/dmft_solutions/T_0p02/U_0p1__Delta_1p5125__w1_0p45__typ,ok,
0.02,0.1,1.5125,typ,0.4,0.6,0.2328885083259735,0.5981665457085336,-0.001833454291466419,0.4882517454708928,0.4065677373954328,0.832701042375834,1,True,0.001439327507911274,0.01260566711425781,/home/2/kj405942/Byczuk_Freericks/filling_variantB_freericks/pbs_variantB_T002_typ_21x21_mu20/chunks/T_0p02__Didx_15_15__typ/dmft_solutions/T_0p02/U_0p1__Delta_1p5125__w1_0p4__typ,ok,
0.02,0,1.5125,typ,0.5,0.5,0.01752540619875125,0.49721424970373,-0.00278575029627004,0.4895819961736947,0.4142075292532657,0.8460432215450842,26,True,0.001982169362313292,0.119389533996582,/home/2/kj405942/Byczuk_Freericks/filling_variantB_freericks/pbs_variantB_T002_typ_21x21_mu20/chunks/T_0p02__Didx_15_15__typ/dmft_solutions/T_0p02/U_0__Delta_1p5125__w1_0p5__typ,ok,
