T,U,Delta,kind,w1_nf,ne_target,mu,ne_actual,dne,A_arith_0,A_typ_0,R0_typ_over_arith,iterations,converged,diff,runtime_dmft_sec,solution_dir,status,error
0.02,0.1,1.9025,typ,0.5,0.5,0.1387459337856612,0.4964639551019165,-0.003536044898083457,0.4431803672556983,0.3010095478658673,0.679203254715018,1,True,0.001988712483332284,0.006767511367797852,/home/2/kj405942/Byczuk_Freericks/filling_variantB_freericks/pbs_variantB_T002_typ_21x21_mu20/chunks/T_0p02__Didx_19_19__typ/dmft_solutions/T_0p02/U_0p1__Delta_1p9025__w1_0p5__typ,ok,
0.02,0.1,1.9025,typ,0.45,0.55,0.1610181948307834,0.5465179659949457,-0.003482034005054313,0.4432833490750198,0.2996564333457905,0.6759929827526132,1,True,0.001926259384208181,0.006745815277099609,/home/2/kj405942/Byczuk_Freericks/filling_variantB_freericks/pbs_variantB_T002_typ_21x21_mu20/chunks/T_0p02__Didx_19_19__typ/dmft_solutions/T_0p02/U_0p1__Delta_1p9025__w1_0p45__typ,ok,
0.02,0.1,1.9025,typ,0.4,0.6,0.1621729262575778,0.5995788730029737,-0.0004211269970262332,0.4433876801291073,0.299183936205659,0.6747682662687909,1,True,0.001498100619009143,0.006808042526245117,/home/2/kj405942/Byczuk_Freericks/filling_variantB_freericks/pbs_variantB_T002_typ_21x21_mu20/chunks/T_0p02__Didx_19_19__typ/dmft_solutions/T_0p02/U_0p1__Delta_1p9025__w1_0p4__typ,ok,
0.02,0.3,1.9025,typ,0.5,0.5,0.244606483768939,0.4995725150895821,-0.0004274849104179412,0.4350390001663075,0.3254874582610356,0.7481799519965054,1,True,0.00195367699075316,0.009008646011352539,/home/2/kj405942/Byczuk_Freericks/filling_variantB_freericks/pbs_variantB_T002_typ_21x21_mu20/chunks/T_0p02__Didx_19_19__typ/dmft_solutions/T_0p02/U_0p3__Delta_1p9025__w1_0p5__typ,ok,
0.02,0.3,1.9025,typ,0.45,0.55,0.3024405025275518,0.5451772438973874,-0.004822756102612624,0.4351681670577245,0.3210398766023016,0.7377375022004219,3,True,0.001928045528930968,0.01698493957519531,/home/2/kj405942/Byczuk_Freericks/filling_variantB_freericks/pbs_variantB_T002_typ_21x21_mu20/chunks/T_0p02__Didx_19_19__typ/dmft_solutions/T_0p02/U_0p3__Delta_1p9025__w1_0p45__typ,ok,
0.02,0.3,1.9025,typ,0.4,0.6,0.3034545439643787,0.596883428541177,-0.003116571458822937,0.4354179251933251,0.3191456475701231,0.732963961987607,1,True,0.001901227339280946,0.008470058441162109,/home/2/kj405942/Byczuk_Freericks/filling_variantB_freericks/pbs_variantB_T002_typ_21x21_mu20/chunks/T_0p02__Didx_19_19__typ/dmft_solutions/T_0p02/U_0p3__Delta_1p9025__w1_0p4__typ,ok,
0.02,0.2,1.9025,typ,0.5,0.5,0.0582310545194883,0.4979562934149799,-0.002043706585020066,0.4396529114979816,0.3130503551076905,0.7120397634603807,86,True,0.001990760464849217,0.454103946685791,/home/2/kj405942/Byczuk_Freericks/filling_variantB_freericks/pbs_variantB_T002_typ_21x21_mu20/chunks/T_0p02__Didx_19_19__typ/dmft_solutions/T_0p02/U_0p2__Delta_1p9025__w1_0p5__typ,ok,
0.02,0.2,1.9025,typ,0.45,0.55,0.05924754060721719,0.5466654789637744,-0.003334521036225668,0.4396844277081188,0.3131337571334756,0.7121784111520707,1,True,0.0009678131484465059,0.008627653121948242,/home/2/kj405942/Byczuk_Freericks/filling_variantB_freericks/pbs_variantB_T002_typ_21x21_mu20/chunks/T_0p02__Didx_19_19__typ/dmft_solutions/T_0p02/U_0p2__Delta_1p9025__w1_0p45__typ,ok,
0.02,0.2,1.9025,typ,0.4,0.6,0.05955310112462496,0.6014616227649746,0.001461622764974635,0.4397771943178522,0.3129067979909503,0.7115121066618897,1,True,0.001719652740835764,0.009133577346801758,/home/2/kj405942/Byczuk_Freericks/filling_variantB_freericks/pbs_variantB_T002_typ_21x21_mu20/chunks/T_0p02__Didx_19_19__typ/dmft_solutions/T_0p02/U_0p2__Delta_1p9025__w1_0p4__typ,ok,
0.02,0,1.9025,typ,0.5,0.5,0.1461268636168443,0.4954304826470434,-0.004569517352956631,0.44475938886703,0.2935961711062249,0.6601236049319278,1,True,0.001984133884039889,0.01061773300170898,/home/2/kj405942/Byczuk_Freericks/filling_variantB_freericks/pbs_variantB_T002_typ_21x21_mu20/chunks/T_0p02__Didx_19_19__typ/dmft_solutions/T_0p02/U_0__Delta_1p9025__w1_0p5__typ,ok,
