T,U,Delta,kind,w1_nf,ne_target,mu,ne_actual,dne,A_arith_0,A_typ_0,R0_typ_over_arith,iterations,converged,diff,runtime_dmft_sec,solution_dir,status,error
0.02,0.3,1.025,typ,0.5,0.5,0.1816730907117159,0.4968701683419883,-0.003129831658011728,0.5380260149568019,0.5246247516344004,0.9750917930548814,49,True,0.001968175396630296,0.1672863960266113,/home/2/kj405942/Byczuk_Freericks/filling_variantB_freericks/pbs_variantB_T002_typ_21x21_mu20/chunks/T_0p02__Didx_10_10__typ/dmft_solutions/T_0p02/U_0p3__Delta_1p025__w1_0p5__typ,ok,
0.02,0.3,1.025,typ,0.45,0.55,0.278602842779205,0.5543785470162659,0.004378547016265832,0.5362134551546234,0.5193700784098626,0.9685882989640687,79,True,0.00195212728493736,0.279949426651001,/home/2/kj405942/Byczuk_Freericks/filling_variantB_freericks/pbs_variantB_T002_typ_21x21_mu20/chunks/T_0p02__Didx_10_10__typ/dmft_solutions/T_0p02/U_0p3__Delta_1p025__w1_0p45__typ,ok,
0.02,0.3,1.025,typ,0.4,0.6,0.3463273799341113,0.6030573908070307,0.003057390807030713,0.5334618191834143,0.5110182540820201,0.9579284509325349,29,True,0.00197784208099981,0.1334085464477539,/home/2/kj405942/Byczuk_Freericks/filling_variantB_freericks/pbs_variantB_T002_typ_21x21_mu20/chunks/T_0p02__Didx_10_10__typ/dmft_solutions/T_0p02/U_0p3__Delta_1p025__w1_0p4__typ,ok,
0.02,0.2,1.025,typ,0.5,0.5,0.1386580358820678,0.5031610558792132,0.003161055879213226,0.5452183643678844,0.5274230409574067,0.9673611078175819,83,True,0.001930884846112858,0.2031650543212891,/home/2/kj405942/Byczuk_Freericks/filling_variantB_freericks/pbs_variantB_T002_typ_21x21_mu20/chunks/T_0p02__Didx_10_10__typ/dmft_solutions/T_0p02/U_0p2__Delta_1p025__w1_0p5__typ,ok,
0.02,0.2,1.025,typ,0.45,0.55,0.2194730304135438,0.5527888612418792,0.002788861241879159,0.5439985016964874,0.5232768773581385,0.9619086738773591,123,True,0.00199560486103918,0.3263993263244629,/home/2/kj405942/Byczuk_Freericks/filling_variantB_freericks/pbs_variantB_T002_typ_21x21_mu20/chunks/T_0p02__Didx_10_10__typ/dmft_solutions/T_0p02/U_0p2__Delta_1p025__w1_0p45__typ,ok,
0.02,0.2,1.025,typ,0.4,0.6,0.3068177577273153,0.6038835740294394,0.003883574029439396,0.5411220639440235,0.5135444207902173,0.9490361879669003,81,True,0.001989204392720107,0.2837800979614258,/home/2/kj405942/Byczuk_Freericks/filling_variantB_freericks/pbs_variantB_T002_typ_21x21_mu20/chunks/T_0p02__Didx_10_10__typ/dmft_solutions/T_0p02/U_0p2__Delta_1p025__w1_0p4__typ,ok,
0.02,0.1,1.025,typ,0.5,0.5,0.09514048556167733,0.5042857770432859,0.004285777043285921,0.5496567411885013,0.5287042029946507,0.9618806854828239,7,True,0.001995347312954076,0.0332939624786377,/home/2/kj405942/Byczuk_Freericks/filling_variantB_freericks/pbs_variantB_T002_typ_21x21_mu20/chunks/T_0p02__Didx_10_10__typ/dmft_solutions/T_0p02/U_0p1__Delta_1p025__w1_0p5__typ,ok,
0.02,0.1,1.025,typ,0.45,0.55,0.1862559797169713,0.5451363051446,-0.004863694855400058,0.5483084151741983,0.5236814542585815,0.9550855682056371,27,True,0.001948851755357252,0.1210579872131348,/home/2/kj405942/Byczuk_Freericks/filling_variantB_freericks/pbs_variantB_T002_typ_21x21_mu20/chunks/T_0p02__Didx_10_10__typ/dmft_solutions/T_0p02/U_0p1__Delta_1p025__w1_0p45__typ,ok,
0.02,0.1,1.025,typ,0.4,0.6,0.2779295125687855,0.5966732931642102,-0.003326706835789728,0.5454525709411816,0.5132130752715576,0.9408940439789392,28,True,0.001938982536574531,0.1552882194519043,/home/2/kj405942/Byczuk_Freericks/filling_variantB_freericks/pbs_variantB_T002_typ_21x21_mu20/chunks/T_0p02__Didx_10_10__typ/dmft_solutions/T_0p02/U_0p1__Delta_1p025__w1_0p4__typ,ok,
0.02,0,1.025,typ,0.5,0.5,0.05126242796627944,0.5009191979327609,0.0009191979327608513,0.5511261853942829,0.5289347944551405,0.9597344645795292,64,True,0.00199856948519882,0.2262880802154541,/home/2/kj405942/Byczuk_Freericks/filling_variantB_freericks/pbs_variantB_T002_typ_21x21_mu20/chunks/T_0p02__Didx_10_10__typ/dmft_solutions/T_0p02/U_0__Delta_1p025__w1_0p5__typ,ok,
