T,U,Delta,kind,w1_nf,ne_target,mu,ne_actual,dne,A_arith_0,A_typ_0,R0_typ_over_arith,iterations,converged,diff,runtime_dmft_sec,solution_dir,status,error
0.02,0,0.05,typ,0.5,0.5,0.03376553691139006,0.4986670903237789,-0.001332909676221128,0.6354094950887158,0.635408286525458,0.9999980979773404,73,True,0.001985135853039514,0.09362363815307617,/home/2/kj405942/Byczuk_Freericks/filling_variantB_freericks/pbs_variantB_T002_typ_21x21_mu20/chunks/T_0p02__Didx_0_0__typ/dmft_solutions/T_0p02/U_0__Delta_0p05__w1_0p5__typ,ok,
0.02,0,0.05,typ,0.45,0.55,0.1144599908815729,0.5502129557071005,0.0002129557071004484,0.6316648768987069,0.6316513119076432,0.999978525019263,47,True,0.00198387346414826,0.1068019866943359,/home/2/kj405942/Byczuk_Freericks/filling_variantB_freericks/pbs_variantB_T002_typ_21x21_mu20/chunks/T_0p02__Didx_0_0__typ/dmft_solutions/T_0p02/U_0__Delta_0p05__w1_0p45__typ,ok,
0.02,0,0.05,typ,0.4,0.6,0.1938686547108645,0.5994814586637833,-0.0005185413362166491,0.6236879957702949,0.6236488330090705,0.999937207768163,33,True,0.001912064619059653,0.04991316795349121,/home/2/kj405942/Byczuk_Freericks/filling_variantB_freericks/pbs_variantB_T002_typ_21x21_mu20/chunks/T_0p02__Didx_0_0__typ/dmft_solutions/T_0p02/U_0__Delta_0p05__w1_0p4__typ,ok,
0.02,0.1,0.05,typ,0.5,0.5,0.08503880070918149,0.4989181583545322,-0.001081841645467763,0.6322086621699922,0.6322074389383434,0.9999980651456996,83,True,0.001992796841832168,0.151763916015625,/home/2/kj405942/Byczuk_Freericks/filling_variantB_freericks/pbs_variantB_T002_typ_21x21_mu20/chunks/T_0p02__Didx_0_0__typ/dmft_solutions/T_0p02/U_0p1__Delta_0p05__w1_0p5__typ,ok,
0.02,0.1,0.05,typ,0.45,0.55,0.1688765995360494,0.5547816628255382,0.004781662825538158,0.6278405165622201,0.6278254917740173,0.9999760691006609,72,True,0.001836846693944527,0.1874105930328369,/home/2/kj405942/Byczuk_Freericks/filling_variantB_freericks/pbs_variantB_T002_typ_21x21_mu20/chunks/T_0p02__Didx_0_0__typ/dmft_solutions/T_0p02/U_0p1__Delta_0p05__w1_0p45__typ,ok,
0.02,0.1,0.05,typ,0.4,0.6,0.2430909530754028,0.6043952157046637,0.004395215704663724,0.6195631188237918,0.6195225187671168,0.9999344698620021,96,True,0.001913799558552861,0.2644846439361572,/home/2/kj405942/Byczuk_Freericks/filling_variantB_freericks/pbs_variantB_T002_typ_21x21_mu20/chunks/T_0p02__Didx_0_0__typ/dmft_solutions/T_0p02/U_0p1__Delta_0p05__w1_0p4__typ,ok,
0.02,0.3,0.05,typ,0.5,0.5,0.1849852090026257,0.5023411166565461,0.002341116656546127,0.6062816656314955,0.6062810831135996,0.9999990391959234,67,True,0.001843664565416566,0.09400081634521484,/home/2/kj405942/Byczuk_Freericks/filling_variantB_freericks/pbs_variantB_T002_typ_21x21_mu20/chunks/T_0p02__Didx_0_0__typ/dmft_solutions/T_0p02/U_0p3__Delta_0p05__w1_0p5__typ,ok,
0.02,0.3,0.05,typ,0.45,0.55,0.2515663050515295,0.5495631036576063,-0.0004368963423937444,0.6028719330838465,0.6028638360732547,0.9999865692692802,58,True,0.001974333899515769,0.09408354759216309,/home/2/kj405942/Byczuk_Freericks/filling_variantB_freericks/pbs_variantB_T002_typ_21x21_mu20/chunks/T_0p02__Didx_0_0__typ/dmft_solutions/T_0p02/U_0p3__Delta_0p05__w1_0p45__typ,ok,
0.02,0.3,0.05,typ,0.4,0.6,0.3323928158314893,0.6039010375483029,0.003901037548302955,0.5938042184157023,0.593776070057671,0.9999525965677603,98,True,0.001992729561121214,0.1700806617736816,/home/2/kj405942/Byczuk_Freericks/filling_variantB_freericks/pbs_variantB_T002_typ_21x21_mu20/chunks/T_0p02__Didx_0_0__typ/dmft_solutions/T_0p02/U_0p3__Delta_0p05__w1_0p4__typ,ok,
0.02,0.2,0.05,typ,0.5,0.5,0.1336671753022461,0.4990051699811325,-0.0009948300188675208,0.6226304655795153,0.6226295639411015,0.9999985518883774,148,True,0.001952543156704246,0.2071130275726318,/home/2/kj405942/Byczuk_Freericks/filling_variantB_freericks/pbs_variantB_T002_typ_21x21_mu20/chunks/T_0p02__Didx_0_0__typ/dmft_solutions/T_0p02/U_0p2__Delta_0p05__w1_0p5__typ,ok,
0.02,0.2,0.05,typ,0.45,0.55,0.2096496462587578,0.5510716398938541,0.001071639893854059,0.6187285210580229,0.6187167826360191,0.9999810281543452,32,True,0.001897191332489723,0.05067801475524902,/home/2/kj405942/Byczuk_Freericks/filling_variantB_freericks/pbs_variantB_T002_typ_21x21_mu20/chunks/T_0p02__Didx_0_0__typ/dmft_solutions/T_0p02/U_0p2__Delta_0p05__w1_0p45__typ,ok,
0.02,0.2,0.05,typ,0.4,0.6,0.2765937630236097,0.5993042692644911,-0.0006957307355088815,0.6114459839560366,0.6114139115755207,0.9999475466658423,36,True,0.001946792494485469,0.111952543258667,/home/2/kj405942/Byczuk_Freericks/filling_variantB_freericks/pbs_variantB_T002_typ_21x21_mu20/chunks/T_0p02__Didx_0_0__typ/dmft_solutions/T_0p02/U_0p2__Delta_0p05__w1_0p4__typ,ok,
0.02,0.4,0.05,typ,0.5,0.5,0.2329270522858246,0.500798806270399,0.0007988062703989662,0.5827000814993225,0.5826999051621441,0.9999996973791767,29,True,0.001889245223104922,0.06834769248962402,/home/2/kj405942/Byczuk_Freericks/filling_variantB_freericks/pbs_variantB_T002_typ_21x21_mu20/chunks/T_0p02__Didx_0_0__typ/dmft_solutions/T_0p02/U_0p4__Delta_0p05__w1_0p5__typ,ok,
